Name,Year,Title,Research question,Data type,Bulk/single cell,Which level,Model architecture," Passive vs. Active Approaches",Taxonomy (Table 3. Zhan et al),Post-hoc interpretation method,Interpretation strategy,Prior knowledge,Computational resources used,Sample size,Inputsize,handpicked,Advantage,Disadvantage,Notes
https://www.biorxiv.org/content/10.1101/2022.09.20.508703v2.full.pdf (2022),2022,"Biologically informed variational autoencoders allow predictive
modeling of genetic and drug induced perturbations",clustering single cell transciptomics with OntoVAE (Ontology guided VAE),sc-transcriptomics,Single-cell,Genes,VAE,active,attribution,Other,"perturbation, prior knowledge","Gene-Onthology, Human Phenotype Ontology",Unspecified,unspecified,< 50000,No,Sparse linear decoder with prior knowledge to ease interpretation. three nodes per gene ontology term,Possibilities of the decoder seems not fully leveraged. Used a masking approach instead of a computationally cheaper sparse approach. Weights in decoder are only positive.,
https://academic.oup.com/bioinformatics/article/39/4/btad113/7067742,2023,Interpretable meta-learning of multi-omics data for survival analysis and pathway enrichment,Cancer survival analysis,mRNA (gene expression),Bulk,"Gene sets, Genes, Pathways","ANN, meta-learning",passive,"attribution, local",DeepLIFT,gradient-based,,Unspecified,>5000 & <10 000,< 50000,No,Meta-learning might be more advantageous for setups with little computational power,Interpretation approach based on similarity of DeepLIFT scores and selection of “anchor genes” and corresponding interaction window size not well motivated,
https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02780-1,2022,iDNA-ABF: multi-scale deep biological language learning model for the interpretable prediction of DNA methylations,"predict DNA methylation ",genotype,Bulk,other,Transformer,passive,"attribution, local",,attention,,Unspecified,unspecified,unspecified,No,provide a broadly applicable model tested on several organisms and types DNA methylation,long range interactions or trans-motifs not accounted for,
https://academic.oup.com/ehjdh/article/3/3/390/6649795,2022,Improving explainability of deep neural network-based electrocardiogram interpretation using variational auto-encoders,"interpret ECG ",clinical,other,other,VAE,passive,"attribution, global, local",SHAP,"game theory, perturbation",,Unspecified,> 1 000 000,,Yes,use two different interpretability approaches for local and global task; SHAP for patients-specifc latent feature importance and perturbations for visualisation of latent feature meaning,No disentanglement effort of latent space - potentially important features are ambigious and difficult to work with for clinicians,good example on how the use of different interpretability approaches can complement each other
https://www.biorxiv.org/content/10.1101/2022.08.03.502682v1,2022,SUPREME: A cancer subtype prediction methodology integrating multiomics data using Graph Convolutional Neural Network,predict cancer subtypes,"CNV, CpGs (methylation), Mutations, clinical, mRNA (gene expression), miRNA",Bulk,Genes,Graph Convolutional Network (GCN),active,"attribution, global",,other,,Unspecified,>500 & <1000,< 1000,No,"work on a patient-specific network level with a high diverstiy in datatypes; very extensive ablation study to understand (global) model characteristics ",Implementing local interpretability would be interesting; number of edges in network are limited due to high computational load; patient-specific network generated using simple correlation (could benefit from a more sophisticated approach there?),
https://www.notion.so/4cbd73a2ecf542c383b1d05865205bc4?pvs=21,2023,siVAE: interpretable deep generative models for single-cell transcriptomes,Identify gene modules whose connectivity is associated with phenotypes,mRNA (gene expression),Single-cell,"Gene sets, Genes",VAE,passive,"attribution, global, hidden semantics","DeepLIFT, Grad * Int, Other, SHAP, Saliency maps","game theory, gradient-based",,GPU (>13 GB),> 1 000 000,< 50000,Yes,"siVAE is interpretable without introducing linear constraints like other methods: LDVAE, scETM, and VEGA. ",practically train two VAEs,"Convincing embeddings comparisons. Used quite some interpretation tools. checks embedding quality by using k-NN with the following baseline methods: standard VAE, LDVAE, scETM"
Rong et al. (2022),2022,MCluster-VAEs: An end-to-end variational deep learning-based clustering method for subtype discovery using multi-omics data,Identify subtypes of cancer with multi-omics data,"Copy number alterations, CpGs (methylation), mRNA (gene expression), miRNA",Bulk,Genes,VAE,passive,"global, hidden semantics",Other,"attention, clustering",,Unspecified,>5000 & <10 000,< 10000,No,Integrates clustering and embedding in one single step while others first do embedding and then cluster on that. Gated attention used for omic integration.,Need to determine the number of clusters beforehand,
https://www.biorxiv.org/content/10.1101/2022.10.13.512119v2,2022,Explainable Machine Learning to Identify Patients-pecific Biomarkers for Lung Cancer,identify lung cancer biomarkers,mRNA (gene expression),Bulk,Genes,VNN (CNN),passive,"attribution, local",SHAP,game theory,,Unspecified,>1000 & <5000,< 50000,No,Compare overlap between SHAP and differentially expressed genes (DEG); compare patient-specifc SHAP scores with each other,interesting analyses but quite limited study in terms of methodologies,
Watson et al. (2022),2022,Using model explanations to guide deep learning models towards consistent explanations for EHR data,improve the consistency of SHAP explanations,"clinical, genotype",Bulk,other,"Dense neural network, Generative adversarial network (GAN)",passive,"attribution, local",SHAP,game theory,,Unspecified,">10 000 & <50 000, >200 000 & < 500 000",< 1000,No,address the important problem of inconsistent predictions due to inherent randomness of model; GAN-inspired training; test a wide array of datasets,"loss pushes submodels to learn similar features → danger of converging to a (arbitrary) local minimum; consistency ≠ causality ",mention in Discussion; new framework with goal to generate stable explanations
https://www.medrxiv.org/content/10.1101/2022.10.19.22281279v1,2022,Interpretable Deep Learning for Improving Cancer Patient Survival Based on Personal Transcriptomes,predict cancer patient survival based on drug prescriptions and personal transcriptomes,"clinical, mRNA (gene expression)",Bulk,"Genes, annotations","AE, ANN",active,"hidden semantics, local",Weights,connection-weights,Gene-Onthology,Unspecified,>1000 & <5000,< 10000,No,active networks mimicks GO-term hierachy,shallow integration of drug and gene expression information as potential limitation,
https://www.nature.com/articles/s41467-023-35923-4,2023,Transformer for one stop interpretable cell type annotation,Cell-type annotation,"mRNA (gene expression), sc-transcriptomics",Single-cell,"Gene sets, Genes",Transformer,active,"attribution, hidden semantics, local",Other,"attention, prior knowledge",GSEA,Unspecified,> 1 000 000,< 50000,No,"Good comparison with baselines (n=18), multi-level interpretation. Can find new cell-types, no-batch effects.","computational resources are not listed, how many GPUs? interpretation method is not well explained.",
https://www.biorxiv.org/content/10.1101/2023.02.02.526909v1,2023,Structure Primed Embedding on the Transcription Factor Manifold Enables Transparent Model Architectures for Gene Regulatory Network and Latent Activity Inference,predict gene regulatory networks (GRNs),"mRNA (gene expression), sc-ATAC, sc-transcriptomics",Single-cell,"Gene sets, Genes",AE,passive,"attribution, global, hidden semantics",Explained Relative Variance (ERV),"Feature selection, connection-weights, pruning",,Unspecified,>10 000 & <50 000,< 50000,No,Evaluated both a shallow and a deeper (hierarchical) autoencoder on single and multiome datasets.,Requires to retrain the network after each pruning step.,
,,,,,,,,,,,,,,,,No,,,
